ATTACK_ID,DATE,LOCATION ,DESCRIPTION,DATA_SOURCES,TOTAL_DEATHS,TOTAL_CASUALITIES,CHILD_DEATHS,CHILD_CASUALTIES,TYPE,AFFILIATION,AFFLIATION_CLAIMED?,PART_OF,OFFICIAL_OR_INSPIRED,MUSLIM_MAJORITY_NATION,FORCED_TO_FLEE,ECONOMIC_COST,ORGANIZED_OR_REACTIVE,WEAPON_USED,MODUS_OPERANDI,SURVEILLED,PRIOR SUSPICION,ACTED_ALONE_OR_IN_GROUP
20100203PAK,2010-02-3,Pakistan,February 2010 Lower Dir bombing,"https://en.wikipedia.org/wiki/February_2010_Lower_Dir_bombing
http://news.bbc.co.uk/2/hi/south_asia/8494890.stm
http://www.cnn.com/2010/WORLD/asiapcf/02/04/pakistan.attack.claim/",8,70,,,Suicide Bombing,Taliban,TRUE,,,TRUE,,,,Bomb,Suicide Bombing,,,GROUP
20100207EGY,2010-01-7,Egypt,The Nag Hammadi massacre was a massacre of Coptic Christians carried out in the Egyptian city of Nag Hammadi,https://en.wikipedia.org/wiki/Nag_Hammadi_massacre,11,22,0,0,Mass Shooting,Berber tribe of Al-Hawara,TRUE,Anti-Christian Sectarian Violence,OFFICIAL,TRUE,0,0,ORGANIZED,Firearms,Shooting,TRUE,,GROUP
20091105USA,2009-11-5,United States,"Fort Hood shooting, at Fort Hood near Killeen, Texas. 13 dead, 33 injured.",,13,33,,,,,,,,FALSE,,,,,,,,
20090717INO,2009-07-17,Indonesia,"2009 Marriott and Ritz-Carlton Hotels bombing in Mega Kuningan, South Jakarta, Indonesia; suicide bombers hit the Marriott and 5 minutes later the Ritz-Carlton. 9 killed and 53 injured",,9,53,,,,,,,,TRUE,,,,,,,,
20090618SOM,2009-06-18,Somalia,2009 Beledweyne bombing by Al-Shabaab. 35 dead.,,35,?,,,,,,,,TRUE,,,,,,,,
20090601USA,2009-06-1,United States,2009 Little Rock recruiting office shooting: Addulhakim Muhajid Muhammad,,1,1,,,,,,,,FALSE,,,,,,,,
20081126IND,2008-11-26,India,"Muslim extremists kill at least 166 people and wound numerous others in a series of coordinated attacks on India's financial capital, Mumbai. The government of India blamed Pakistan based militant group Lashkar-e-Taiba and stated that the terrorists killed/caught were citizens of Pakistan, a claim which the Pakistani government first refused but then accepted when given proof. Ajmal Kasab, one of the terrorists, was caught alive.[45][46]","http://www.washingtonpost.com/wp-dyn/content/article/2008/11/26/AR2008112604708.html?hpid=topnews                                                          
http://www.washingtonpost.com/wp-dyn/content/article/2008/12/01/AR2008120100940.html?hpid=topnews",166+,?,,,,,,,,FALSE,,,,,,,,
20081001IRA,2008-10-1,Iraq,2008 attacks on Christians in Mosul,,40+,?,,,,,,,,TRUE,,,,,,,,
20080927IND,2008-09-27,India,"27 September 2008 Delhi blast: An explosion in Mehrauli's Electronic market called Sarai, killed 3 and injured 23 others.",,3,23,,,,,,,,FALSE,,,,,,,,
20080920PAK,2008-09-20,Pakistan,"Islamabad Marriott Hotel bombing: A dump truck filled with explosives detonated outside the Marriott Hotel in Islamabad, killing at least 54, including 2 American servicemen.",,54+,0,,,,,,,,TRUE,,,,,,,,
20080913IND,2008-09-13,India,"Bombing series in Delhi. Pakistani extremist groups plant bombs at several places including India Gate, out of which the ones at Karol Bagh,Connaught Place and Greater Kailash explode leaving around 30 people dead and 130 injured, followed by another attack two weeks later at the congested Mehrauli area, leaving 3 people dead.",,30,130,,,,,,,,FALSE,,,,,,,,
20080726IND,2008-07-26,India,2008 Ahmedabad bombings,,56[43][44],Over 200[43][44],,,,,,,,FALSE,,,,,,,,
20080204ISR,2008-02-4,Israel,2008 Dimona suicide bombing,,1,9,,,,,,Israeli-Palestinian Conflict,,FALSE,,,,,,,,
20070814IRA,2007-08-14,Iraq,2007 Qahtaniya bombings,,~500,~1500,,,,,,,,TRUE,,,,,,,,
20070710PHI,2007-07-10,Philippines,2007 Basilan beheading incident,,34,9,,,,,,,,FALSE,,,,,,,,
20070630UNI,2007-06-30,United Kingdom,2007 Glasgow International Airport attack,,1,5,,,,,,,,FALSE,,,,,,,,
20070513IND,2007-05-13,India,Jaipur bombings,,80,216,,,,,,,,FALSE,,,,,,,,
20070418TUR,2007-04-18,Turkey,Three members of a publishing house are murdered by five assailants in the Zirve Publishing House massacre.,,3,0,,,,,,,,TRUE,,,,,,,,
20070129ISR,2007-01-29,Israel,Eilat bakery bombing,https://en.wikipedia.org/wiki/Eilat_bakery_bombing,3,0,,,Suicide Bombing,"Fatah, AlAqsa Martyr's Brigade",TRUE,Israeli-Palestinian Conflict,OFFICIAL,FALSE,,,,Suicide Bomb,,,,
20060915YEM,2006-09-15,Yemen,"The September 15, 2006 Yemen attacks were two attempted bombings of oil facilities in Yemen. 5 People dead, 4 of them being the attackers.",,5,0,,,,,,,,TRUE,,,,,,,,
